icao,lat,lon
0,34.9856,-106.009
0,36.565,-103.491
0,35.7177,-108.202
0,40.7545,-93.2413
3,35.7139,-100.603
20,36.0917,-102.416
100,29.4502,-103.399
2000,36.1773,-101.694
7000,41.2384,-81.2538
10000,35.142,-101.838
200000,31.9618,-105.197
600000,44.4308,-97.5612
2000000,45.5344,-98.0951
5000000,44.2861,-91.2265
10000000,35.065,-101.879
20000000,35.247,-100.544
30000000,36.2195,-102.104
40000000,46.0125,-98.5129
100000000,44.3876,-75.0663
200000000,42.425,-83.8694
400000000,46.8958,-102.355
1000000000,35.0653,-101.961
5000000000,40.408,-83.2194
00AL,34.8648,-86.7703
00AZ,34.3056,-112.165
00B,38.9147,-76.5047
00C,37.2032,-107.869
00CA,35.3505,-116.888
00CL,38.6382,-121.515
00CO,40.6222,-104.344
00FA,28.6455,-82.219
00FL,27.2309,-80.9692
00GA,33.7675,-84.0683
00IL,41.9784,-89.5604
00IS,40.0256,-89.1229
00KS,38.7278,-94.9305
00M,31.9538,-89.2345
00MD,38.7571,-75.7538
00MN,46.3,-95.7003
00MO,37.2028,-94.4124
00MT,48.5375,-109.705
00N,39.4732,-75.1852
00NC,36.0852,-78.3714
00NY,42.9001,-77.4997
00OH,41.5909,-84.1422
00PS,40.3778,-77.3653
00Q,39.0749,-121.918
00R,30.6859,-95.0179
00S,44.1832,-122.089
00TN,35.5159,-85.9536
00TS,32.6076,-97.242
00UT,37.2478,-112.822
00V,38.9458,-104.57
00VI,36.6633,-80.4995
00W,46.6735,-117.443
00WA,47.1784,-122.772
00WI,44.3043,-89.0501
00WV,38.8289,-79.8661
00WY,41.2589,-105.589
00XS,33.0334,-101.934
00Y,45.5505,-96.4514
01A,62.9436,-152.27
01AL,32.946,-86.5139
01C,43.3417,-85.775
01CL,38.7999,-120.734
01FA,28.5894,-81.1442
01FL,28.7819,-81.1592
01G,42.7413,-78.0521
01IA,41.6611,-90.7413
01ID,43.6721,-116.771
01II,39.885,-86.5067
01IS,39.0162,-90.3182
01J,30.688,-81.9059
01K,37.0361,-97.5864
01KS,38.5406,-97.0033
01LA,32.639,-91.7737
01LL,38.1258,-89.4639
01LS,30.706,-91.0774
01M,34.4917,-88.2011
01MD,38.9992,-76.456
01ME,46.7789,-68.5003
01MN,47.8996,-92.5574
01MT,48.7891,-114.88
01NC,34.4753,-77.5814
01NE,40.8436,-100.653
01NH,43.6445,-72.087
01NV,38.7639,-119.027
01OH,41.2828,-83.148
01OK,35.2945,-98.6365
01OR,43.1193,-121.045
01PN,40.9306,-77.7389
01PS,41.6009,-76.0271
01SC,35.0321,-81.2528
01TE,32.7376,-96.428
01TN,34.9959,-89.7306
01TX,32.3876,-96.8775
01U,38.8516,-115.634
01UT,38.3083,-109.396
01V,39.733,-104.655
